Sr. No.,Page,College Code,College Name,Course Code,Course Name,Status,Level,Stage,Caste/Category,Cut‑off Rank,Cut‑off Percentile
1,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,I,GOPENS,33717,88.6037289
2,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,I,GSCS,61041,78.5613347
3,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,I,GNT3S,67451,76.1358545
4,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,I,GSEBCS,83123,69.7604398
5,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,I,LSCS,50493,82.7086811
6,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,I,LVJS,52977,81.7098306
7,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,I,EWS,115797,53.7424491
8,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,I-NON PWD,PWDOPENS,33345,88.6997043
9,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,State Level,VII,ORPHAN,33876,88.5551879
10,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,State Level,I,GSCS,11323,96.2437396
11,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,State Level,I,GSEBCS,17059,94.3331807
12,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,State Level,I,LOPENS,7985,97.3461799
13,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,State Level,I,LSEBCS,21791,92.7108008
14,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,State Level,I,TFWS,9964,96.7229568
15,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,State Level,I,PWDROBC S,96341,63.2687832
16,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,State Level,I,EWS,15308,94.8964961
17,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,State Level,I,GOBCS,8917,97.0497898
18,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,State Level,I,GSEBCS,24057,91.9492948
19,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,State Level,I,LOPENS,11969,96.0392321
20,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,State Level,I,LSEBCS,24708,91.7849899
21,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,State Level,I,TFWS,13259,95.6320635
22,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,State Level,I,EWS,19241,93.6359026
23,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,State Level,VII,ORPHAN,11764,96.1353059
24,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,State Level,I,GOPENS,24135,91.9393058
25,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,State Level,I,GNT2S,50339,82.7086811
26,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,State Level,I,LNT1S,44865,84.5731157
27,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,State Level,I,TFWS,12755,95.7978793
28,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,State Level,I,EWS,75966,72.7750912
29,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,GOPENS,18608,93.8492553
30,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,GSTS,47245,83.7440631
31,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,GOBCS,19635,93.4557596
32,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,GSEBCS,30760,89.5917850
33,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,LOPENS,14790,95.0547190
34,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,LVJS,66354,76.5404634
35,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,LSEBCS,44066,84.8482325
36,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,TFWS,21632,92.7704421
37,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,State Level,I,EWS,28139,90.5124049
38,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous,State Level,I,GOPENS,34174,88.5013511
39,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous,State Level,I,LOBCS,32099,89.1945571
40,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,I,GOPENS,31514,89.3223371
41,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,I,GSCS,62783,77.8445199
42,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,I,GVJS,67622,76.1268781
43,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,I,LOPENS,38944,86.7801974
44,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,I,LSCS,64534,77.2074577
45,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,I,LOBCS,48807,83.1469549
46,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,I,TFWS,52116,81.9341840
47,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,I,EWS,101168,60.6237408
48,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,State Level,II,LSTS,139021,38.8659877
49,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Home University Seats Allotted to Home University Candidates,I,GOPENH,58918,80.9512783
50,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Home University Seats Allotted to Home University Candidates,I,GSCH,101902,63.2687832
51,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Home University Seats Allotted to Home University Candidates,I,GOBCH,78502,73.6262684
52,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Home University Seats Allotted to Home University Candidates,I,LOBCH,60193,80.5269954
53,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Home University Seats Allotted to Home University Candidates,I-NON PWD,PWDOPENH,68640,77.5670525
54,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Home University Seats Allotted to Home University Candidates,VII,LSEBCH,87385,70.1991193
55,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Home University Seats Allotted to Other Than Home University Candidates,I,GSTH,87376,70.2091815
56,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GSCO,38214,87.9872713
57,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,LOPENO,19750,93.8820380
58,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,Home University Seats Allotted to Home University Candidates,I,GVJO,153310,32.0979389
59,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,State Level,I,EWS,115223,57.1959853
60,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,State Level,I-NON DEFENCE,DEFOPENS,20748,93.5806257
61,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,University Department,Home University Seats Allotted to Home University Candidates,I,GOPENH,108245,57.2537563
62,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,University Department,Home University Seats Allotted to Home University Candidates,I,GOBCH,149613,30.9541920
63,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,University Department,Home University Seats Allotted to Home University Candidates,I,LOPENH,132176,43.5298862
64,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,University Department,Home University Seats Allotted to Home University Candidates,I,LSCH,132982,42.8773305
65,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,University Department,Home University Seats Allotted to Home University Candidates,I,GOPENH,159191,22.5020163
66,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,University Department,Home University Seats Allotted to Other Than Home University Candidates,I,GOBCH,115971,53.7424491
67,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,University Department,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,LOPENO,163269,19.1157452
68,5,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Home University Seats Allotted to Home University Candidates,I,GOPENH,109950,56.9588351
69,5,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Home University Seats Allotted to Home University Candidates,I,GOBCH,144222,34.8626522
70,5,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Home University Seats Allotted to Home University Candidates,I-NON PWD,PWDOPENH,140651,37.6881791
71,5,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Home University Seats Allotted to Home University Candidates,VII,GSTH,133801,42.2216419
72,5,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GOPENO,101298,60.6237408
73,5,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GOBCO,112108,55.2318816
74,5,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department,State Level,I-NON DEFENCE,DEFOPENS,97098,63.0759599
75,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GOPENH,110025,56.9588351
76,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GSCH,125827,47.4576949
77,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,GOBCH,111930,55.2318816
78,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,LOPENH,76748,72.3242844
79,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I,LNT1H,151306,29.3071786
80,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,I-NON PWD,PWDOPENH,105131,59.8892661
81,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,VII,GSEBCH,112880,55.0733859
82,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Home University Seats Allotted to Home University Candidates,VII,LSEBCH,114474,54.0859766
83,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GOPENO,79206,71.3988776
84,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GSCO,92376,65.4406319
85,6,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,Other Than Home University Seats Allotted to Other Than Home University Candidates,I,GNT2O,154314,27.4048925
